Lemma	Abs. freq. in full text	Rel. Freq. in full text
voluntad	207	0,0006321344155963135
vez	207	0,0006321344155963135
comunidad	207	0,0006321344155963135
ensen	206	0,0006290806261489883
oficio	202	0,0006168654683596875
vencer	200	0,0006107578894650372
departir	193	0,0005893813633337609
cierto	192	0,0005863275738864356
batalla	191	0,0005832737844391105
condición	187	0,0005710586266498098
natura	187	0,0005710586266498098
dejar	186	0,0005680048372024845
lugar	184	0,0005618972583078342
contrario	183	0,000558843468860509
agustín	182	0,0005557896794131838
sino	182	0,0005557896794131838
ar	180	0,0005496821005185334
amigo	180	0,0005496821005185334
persona	180	0,0005496821005185334
suyo	179	0,0005466283110712082
pecar	176	0,0005374669427292327
otrosí	176	0,0005374669427292327
quel_que+quel_el	175	0,0005344131532819075
fuerte	175	0,0005344131532819075
poderío	175	0,0005344131532819075
excusar	174	0,0005313593638345824
palabra	173	0,0005283055743872571
juzgar	172	0,000525251784939932
arte	172	0,000525251784939932
marido	172	0,000525251784939932
cuatro	171	0,0005221979954926068
alejandro	170	0,0005191442060452816
gobernamiento	167	0,000509982837703306
toma	167	0,000509982837703306
tu	167	0,000509982837703306
orio	166	0,0005069290482559808
cuidar	165	0,0005038752588086557
probar	165	0,0005038752588086557
muerte	164	0,0005008214693613304
antes	163	0,0004977676799140053
mano	163	0,0004977676799140053
rico	161	0,0004916601010193549
codicia	160	0,0004886063115720297
conpan	160	0,0004886063115720297
ibdad	160	0,0004886063115720297
riqueza	159	0,00048555252212470457
uso	159	0,00048555252212470457
morir	158	0,00048249873267737937
defender	158	0,00048249873267737937
arma	156	0,000476391153782729
lidiar	156	0,000476391153782729
demostrar	155	0,0004733373643354038
y	154	0,0004702835748880786
yo	154	0,0004702835748880786
mi	154	0,0004702835748880786
ciudadano	154	0,0004702835748880786
maguer	152	0,00046417599599342824
dellos_de+dellos_el	151	0,00046112220654610304
lidiador	151	0,00046112220654610304
andar	150	0,0004580684170987779
solamente	150	0,0004580684170987779
partir	149	0,0004550146276514527
pasión	148	0,00045196083820412753
miente	148	0,00045196083820412753
ahí	148	0,00045196083820412753
sufrir	148	0,00045196083820412753
5	147	0,0004489070487568023
salir	146	0,0004458532593094771
hasta	143	0,00043669189096750156
facienda	143	0,00043669189096750156
primero	142	0,0004336381015201764
