                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.7582,                  5.385,                 2.6601,                0.38862,                0.08111,                0.06684,                0.02158,                 2.6582,                 3.5781,                 2.5903,              0.0012734,              0.0012734,              0.0012734
                     36,                 2.8367,                  5.355,                 2.7394,                0.80073,                0.09412,                0.09019,                0.03109,                 2.7157,                 3.8014,                 2.6956,              0.0012687,              0.0012687,              0.0012687
                     37,                 2.4783,                 5.1379,                 2.5533,                0.73278,                0.10382,                0.06488,                0.02076,                  2.642,                 3.4761,                 2.5934,               0.001264,               0.001264,               0.001264
                     38,                  2.854,                  4.986,                 2.7676,                 0.6826,                0.06667,                 0.0304,                0.00763,                 2.8216,                 4.8145,                 2.7378,              0.0012592,              0.0012592,              0.0012592
                     39,                 2.8385,                 5.1449,                 2.6607,                0.35723,                0.23529,                0.04409,                0.01213,                 2.7587,                 3.3769,                 2.6397,              0.0012545,              0.0012545,              0.0012545
                     40,                 2.8559,                 4.7436,                 2.7659,                0.35659,                0.27451,                0.06417,                0.02157,                 2.6704,                 3.2808,                 2.6059,              0.0012498,              0.0012498,              0.0012498
                     41,                 2.5712,                  4.682,                 2.5892,                  0.028,                0.23877,                0.03635,                0.01047,                 2.6801,                   3.41,                 2.5389,              0.0012451,              0.0012451,              0.0012451
                     42,                 2.5547,                 4.6196,                 2.5312,                 0.0662,                0.28122,                0.06858,                0.02168,                  2.582,                 3.6122,                 2.5319,              0.0012404,              0.0012404,              0.0012404
                     43,                 2.7109,                 4.4071,                 2.6647,                0.04847,                0.17255,                0.05322,                0.01655,                  2.567,                 3.4473,                  2.525,              0.0012357,              0.0012357,              0.0012357
                     44,                 2.6306,                 4.3185,                 2.7049,                 0.4288,                 0.1451,                0.11879,                0.04142,                  2.529,                 3.3113,                   2.55,              0.0012309,              0.0012309,              0.0012309
                     45,                 2.8504,                 4.6385,                 2.6729,                0.71368,                0.22353,                0.11443,                0.03994,                 2.6848,                 3.7498,                  2.649,              0.0012262,              0.0012262,              0.0012262
                     46,                  2.771,                 4.0662,                 2.7195,                0.72811,                0.21569,                0.14383,                0.05811,                  2.514,                 3.2137,                  2.524,              0.0012215,              0.0012215,              0.0012215
                     47,                 2.8016,                  3.971,                 2.7772,                0.70277,                0.28235,                0.13916,                  0.043,                 2.4587,                 3.1824,                 2.4797,              0.0012168,              0.0012168,              0.0012168
                     48,                 2.6534,                 3.9295,                 2.7216,                0.12719,                0.22054,                0.17407,                0.06945,                 2.5651,                 3.1223,                 2.5343,              0.0012121,              0.0012121,              0.0012121
                     49,                 2.5326,                 4.0555,                 2.5234,                0.75501,                0.19608,                  0.147,                 0.0638,                 2.5414,                 3.2323,                 2.5444,              0.0012074,              0.0012074,              0.0012074
                     50,                 2.5765,                 3.7102,                 2.5165,                0.75671,                0.20784,                0.15901,                0.07533,                 2.4996,                 3.0126,                 2.5479,              0.0012026,              0.0012026,              0.0012026
                     51,                 2.8386,                 4.1003,                 2.7548,                0.44061,                0.24314,                0.17714,                0.07841,                 2.4295,                 3.1626,                 2.5225,              0.0011979,              0.0011979,              0.0011979
                     52,                 2.3767,                 3.7809,                 2.4718,                0.76687,                0.25098,                0.18875,                0.07485,                 2.5184,                   2.76,                 2.5603,              0.0011932,              0.0011932,              0.0011932
                     53,                 2.4971,                 3.8132,                 2.4179,                0.72799,                0.23922,                0.12898,                0.04846,                 2.5889,                 2.8638,                 2.6289,              0.0011885,              0.0011885,              0.0011885
                     54,                 2.6287,                 3.4219,                   2.66,                0.51167,                0.18524,                0.17474,                0.08111,                 2.3927,                 2.6778,                 2.4784,              0.0011838,              0.0011838,              0.0011838
                     55,                  2.678,                 3.7635,                  2.565,                0.53075,                0.27728,                0.18027,                0.07616,                 2.3786,                 2.5412,                 2.4703,              0.0011791,              0.0011791,              0.0011791
                     56,                 2.7138,                 3.5389,                  2.757,                0.45134,                0.33756,                0.18758,                0.06344,                 2.4409,                 2.6241,                 2.5439,              0.0011744,              0.0011744,              0.0011744
                     57,                 2.7454,                 3.4487,                 2.6401,                0.10989,                0.36336,                0.17091,                0.05872,                 2.4726,                 2.3763,                 2.5621,              0.0011696,              0.0011696,              0.0011696
                     58,                 2.3388,                 3.2788,                 2.3872,                0.10278,                0.37652,                0.15146,                0.04967,                 2.4565,                  2.467,                 2.5556,              0.0011649,              0.0011649,              0.0011649
                     59,                 2.6128,                 3.1742,                 2.6373,                0.10982,                0.34289,                 0.1057,                0.03408,                 2.3871,                 2.6938,                 2.5169,              0.0011602,              0.0011602,              0.0011602
                     60,                  2.636,                 3.3152,                 2.6936,                0.18873,                0.33524,                0.18096,                 0.0545,                 2.6567,                 2.8908,                 2.6612,              0.0011555,              0.0011555,              0.0011555
                     61,                  2.332,                 3.3532,                 2.3399,                0.15234,                0.28674,                0.20308,                0.06487,                 2.7128,                 2.9849,                 2.6682,              0.0011508,              0.0011508,              0.0011508
                     62,                 2.6009,                 3.2854,                 2.6288,                 0.4173,                0.23922,                0.18672,                0.05749,                 2.6617,                 3.9066,                 2.6204,              0.0011461,              0.0011461,              0.0011461
                     63,                  2.573,                 3.0342,                 2.6566,                0.51135,                 0.2563,                0.20614,                0.07779,                 2.3767,                 2.5169,                 2.4406,              0.0011413,              0.0011413,              0.0011413
                     64,                 2.5218,                 2.9914,                 2.5103,                0.53681,                0.26209,                0.24249,                0.10494,                 2.4117,                  2.232,                 2.4842,              0.0011366,              0.0011366,              0.0011366
                     65,                 2.5897,                 3.1213,                 2.5733,                 0.8959,                0.20784,                0.27372,                0.12239,                 2.4117,                  2.044,                 2.5245,              0.0011319,              0.0011319,              0.0011319
                     66,                 2.4819,                 2.9427,                 2.5011,                0.90026,                0.21569,                0.28878,                0.12916,                  2.324,                 2.1357,                 2.4838,              0.0011272,              0.0011272,              0.0011272
                     67,                 2.3932,                 2.8862,                 2.4255,                0.79554,                0.20784,                 0.1987,                0.08056,                 2.5354,                 3.8799,                 2.6367,              0.0011225,              0.0011225,              0.0011225
                     68,                 2.5497,                 2.9011,                 2.5753,                0.46868,                 0.2445,                0.26384,                0.10809,                 2.3274,                 2.1995,                 2.4521,              0.0011178,              0.0011178,              0.0011178
                     69,                 2.6306,                 2.8063,                 2.6243,                0.24006,                0.24293,                0.23699,                0.10084,                 2.3015,                 2.1363,                 2.4461,               0.001113,               0.001113,               0.001113
                     70,                 2.5173,                  2.826,                  2.486,                0.24384,                0.30129,                0.23946,                0.10236,                 2.3171,                 2.1747,                 2.4587,              0.0011083,              0.0011083,              0.0011083
                     71,                 2.3704,                 2.9329,                 2.4758,                0.49027,                0.22745,                0.27467,                0.11648,                 2.3171,                  2.419,                 2.4183,              0.0011036,              0.0011036,              0.0011036
                     72,                 2.6296,                 2.5862,                 2.6329,                0.52244,                0.24706,                0.28152,                0.11841,                 2.2982,                 2.0573,                 2.4066,              0.0010989,              0.0010989,              0.0010989
                     73,                 2.5148,                 2.8424,                 2.5165,                0.90608,                0.21961,                0.26542,                0.07467,                 2.6355,                 2.5396,                 2.5478,              0.0010942,              0.0010942,              0.0010942
                     74,                 2.3932,                 2.8736,                 2.3362,                0.83534,                0.19684,                0.23741,                0.08238,                 2.5903,                 2.3523,                 2.5971,              0.0010895,              0.0010895,              0.0010895
                     75,                 2.3423,                 2.8765,                 2.3948,                0.88635,                0.21226,                0.29216,                 0.1251,                 2.3089,                 1.9908,                 2.4128,              0.0010848,              0.0010848,              0.0010848
                     76,                 2.4037,                   2.68,                 2.4415,                0.91402,                0.21961,                0.27731,                0.11089,                 2.5024,                 2.4415,                 2.5585,                0.00108,                0.00108,                0.00108
                     77,                 2.4848,                 2.6404,                 2.6322,                 0.6074,                0.27178,                0.30886,                0.13408,                 2.3186,                 1.9391,                 2.4011,              0.0010753,              0.0010753,              0.0010753
                     78,                 2.4102,                 2.6023,                 2.4195,                0.50212,                0.21569,                0.20429,                0.07985,                 2.5823,                 3.1727,                 2.6174,              0.0010706,              0.0010706,              0.0010706
                     79,                 2.4603,                 2.7012,                 2.4499,                0.46859,                    0.2,                0.15396,                0.05734,                 2.5882,                 3.2468,                 2.6658,              0.0010659,              0.0010659,              0.0010659
                     80,                  2.506,                 2.7759,                 2.6518,                0.93813,                0.27059,                 0.3154,                0.14607,                 2.3072,                 2.0901,                 2.4335,              0.0010612,              0.0010612,              0.0010612
                     81,                 2.5198,                 2.6438,                 2.5712,                0.91408,                0.27843,                0.34347,                 0.1493,                 2.2942,                 2.0314,                 2.4174,              0.0010565,              0.0010565,              0.0010565
                     82,                 2.5233,                 2.7827,                 2.4509,                0.92802,                0.27059,                0.35335,                 0.1429,                 2.2506,                 1.9521,                 2.3915,              0.0010517,              0.0010517,              0.0010517
                     83,                 2.5093,                 2.8411,                 2.5627,                0.88025,                0.27843,                0.31628,                0.13306,                 2.2716,                 2.1638,                 2.3909,               0.001047,               0.001047,               0.001047
                     84,                 2.5543,                 2.7602,                  2.511,                0.45094,                0.21592,                0.15982,                0.06691,                 2.6851,                 4.0089,                  2.687,              0.0010423,              0.0010423,              0.0010423
                     85,                 2.2256,                 2.5308,                 2.3351,                0.61093,                0.26667,                0.35638,                 0.1659,                 2.2368,                 2.1688,                 2.3714,              0.0010376,              0.0010376,              0.0010376
                     86,                 2.3169,                 2.6917,                 2.3096,                0.27278,                0.32821,                0.34356,                0.16119,                 2.2532,                 1.8764,                 2.3902,              0.0010329,              0.0010329,              0.0010329
                     87,                 2.3757,                 2.5482,                 2.5083,                0.58158,                0.26317,                0.32473,                0.14424,                 2.2229,                 2.0991,                 2.3611,              0.0010282,              0.0010282,              0.0010282
